Date,Open,High,Low,Close,Adj Close,Volume
2022-08-09,60600.000000,60700.000000,59600.000000,60000.000000,59590.546875,18251170
2022-08-10,58900.000000,59200.000000,58600.000000,59100.000000,58696.691406,18084349
2022-08-11,59600.000000,60000.000000,59300.000000,59900.000000,59491.230469,15141941
2022-08-12,59500.000000,60700.000000,59400.000000,60200.000000,59789.183594,10786658
2022-08-16,60500.000000,61600.000000,60300.000000,61000.000000,60583.722656,15036727
2022-08-17,61100.000000,61200.000000,60300.000000,60400.000000,59987.820313,9061518
2022-08-18,60300.000000,61900.000000,60000.000000,61500.000000,61080.312500,16372754
2022-08-19,61400.000000,61600.000000,60600.000000,60900.000000,60484.406250,6923679
2022-08-22,60300.000000,60400.000000,59800.000000,60000.000000,59590.546875,8259865
2022-08-23,59000.000000,59600.000000,59000.000000,59100.000000,58696.691406,9041629
2022-08-24,59200.000000,59500.000000,59000.000000,59000.000000,58597.371094,8888486
2022-08-25,59200.000000,59700.000000,59000.000000,59700.000000,59292.593750,5767902
2022-08-26,60300.000000,60900.000000,59900.000000,60000.000000,59590.546875,9499995
2022-08-29,58700.000000,58900.000000,58600.000000,58600.000000,58200.101563,9841329
2022-08-30,58700.000000,59000.000000,58300.000000,58800.000000,58398.738281,9690044
2022-08-31,58200.000000,59900.000000,58200.000000,59700.000000,59292.593750,14203512
2022-09-01,58700.000000,58900.000000,58300.000000,58400.000000,58001.468750,14905777
2022-09-02,58300.000000,58600.000000,57500.000000,57500.000000,57107.609375,15040310
2022-09-05,57400.000000,57800.000000,56800.000000,57100.000000,56710.339844,11425977
2022-09-06,57200.000000,57600.000000,56900.000000,57100.000000,56710.339844,7503086
2022-09-07,56700.000000,56700.000000,55900.000000,56000.000000,55617.843750,17384854
2022-09-08,56200.000000,56400.000000,55600.000000,55600.000000,55220.574219,18000016
2022-09-13,57000.000000,58500.000000,56800.000000,58100.000000,57703.515625,17166581
2022-09-14,56200.000000,57200.000000,56100.000000,56800.000000,56412.386719,12524961
2022-09-15,57000.000000,57100.000000,56000.000000,56000.000000,55617.843750,11664819
2022-09-16,55600.000000,56400.000000,55500.000000,56200.000000,55816.480469,13456503
2022-09-19,56300.000000,57000.000000,56000.000000,56400.000000,56015.117188,12278653
2022-09-20,56400.000000,57000.000000,55800.000000,55800.000000,55419.210938,14041465
2022-09-21,55400.000000,55500.000000,55000.000000,55300.000000,54922.621094,11863700
2022-09-22,54600.000000,54700.000000,54300.000000,54400.000000,54028.765625,12786510
2022-09-23,54400.000000,54900.000000,54200.000000,54500.000000,54128.082031,10555964
2022-09-26,53700.000000,54200.000000,53600.000000,53900.000000,53532.175781,15008449
2022-09-27,53800.000000,54200.000000,53500.000000,54200.000000,53830.128906,16631289
2022-09-28,53900.000000,54400.000000,52500.000000,52900.000000,52539.000000,19991129
2022-09-29,53300.000000,53700.000000,52600.000000,52600.000000,52600.000000,13882080
2022-09-30,52300.000000,53600.000000,51800.000000,53100.000000,53100.000000,22503249
2022-10-04,55300.000000,55400.000000,54500.000000,55200.000000,55200.000000,19148435
2022-10-05,56900.000000,57200.000000,55400.000000,56000.000000,56000.000000,22458970
2022-10-06,56700.000000,57300.000000,56300.000000,56300.000000,56300.000000,14944446
2022-10-07,55900.000000,56900.000000,55200.000000,56200.000000,56200.000000,16886813
2022-10-11,54400.000000,55700.000000,54000.000000,55400.000000,55400.000000,21437877
2022-10-12,55700.000000,57000.000000,55200.000000,55800.000000,55800.000000,18408910
2022-10-13,55400.000000,56100.000000,55200.000000,55200.000000,55200.000000,13784602
2022-10-14,56200.000000,56500.000000,55800.000000,56300.000000,56300.000000,12924326
2022-10-17,55800.000000,57000.000000,55700.000000,56600.000000,56600.000000,13641878
2022-10-18,56700.000000,57100.000000,55800.000000,56500.000000,56500.000000,14820702
2022-10-19,56700.000000,56900.000000,55700.000000,55800.000000,55800.000000,12660652
2022-10-20,55200.000000,56000.000000,55100.000000,55500.000000,55500.000000,17107653
2022-10-21,55100.000000,56300.000000,55100.000000,55900.000000,55900.000000,11456060
2022-10-24,57000.000000,57500.000000,56700.000000,57500.000000,57500.000000,16944503
2022-10-25,57000.000000,58600.000000,57000.000000,57700.000000,57700.000000,17405678
2022-10-26,58000.000000,59600.000000,57700.000000,59400.000000,59400.000000,20824967
2022-10-27,59700.000000,60100.000000,58900.000000,59500.000000,59500.000000,21756712
2022-10-28,58900.000000,59200.000000,57200.000000,57300.000000,57300.000000,20924937
2022-10-31,58100.000000,59900.000000,58000.000000,59400.000000,59400.000000,18999514
2022-11-01,59900.000000,60300.000000,59500.000000,60000.000000,60000.000000,17201647
2022-11-02,59700.000000,60000.000000,59300.000000,59600.000000,59600.000000,13202919
2022-11-03,58600.000000,59800.000000,58100.000000,59200.000000,59200.000000,17492162
2022-11-04,59100.000000,59500.000000,58400.000000,59400.000000,59400.000000,12445841
2022-11-07,59700.000000,60300.000000,59400.000000,60200.000000,60200.000000,12437246
2022-11-08,60500.000000,61900.000000,60500.000000,61800.000000,61800.000000,18273898
2022-11-09,62000.000000,62200.000000,61300.000000,62000.000000,62000.000000,14045592
2022-11-10,61400.000000,61500.000000,60800.000000,60900.000000,60900.000000,8018766
