Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2018-11-05,43750,43800,42900,43800,38857.79297,9426777,38473.35677,38121.44844
2018-11-06,43750,43800,42950,43750,38813.4375,7713625,38946.51172,38369.85469
2018-11-07,43600,44500,43400,44000,39035.22656,11553998,38902.15234,38653.74688
2018-11-08,44900,45050,44050,44050,39079.58594,12617397,38976.08333,38990.86953
2018-11-09,44450,44850,43900,44300,39301.375,7318500,39138.72917,39017.48359
2018-11-12,43850,45250,43700,45200,40099.82422,8552566,39493.59505,39265.88984
2018-11-13,43900,44500,43400,44500,39478.80859,9311126,39626.66927,39398.96406
2018-11-14,44500,44500,43800,44100,39123.94922,6783344,39567.52734,39416.70859
2018-11-15,44050,44350,43500,44250,39257.01953,5864067,39286.59245,39452.19531
2018-11-16,44600,44750,43700,44000,39035.22656,7777124,39138.73177,39398.96563
2018-11-19,44050,44250,43450,43650,38724.73047,7538720,39005.65885,39123.94688
2018-11-20,42450,43000,42100,42800,37970.62891,9420664,38576.86198,38822.31094
2018-11-21,41800,42300,41800,42100,37349.60938,10769589,38014.98958,38467.44297
2018-11-22,42000,42650,42000,42450,37660.12109,5970796,37660.11979,38148.06328
2018-11-23,42450,42600,41900,42400,37615.76563,5192638,37541.83203,37864.17109
2018-11-26,42150,42800,42100,42600,37793.19531,6613009,37689.69401,37677.86406
2018-11-27,42900,43100,42500,43050,38192.42188,8367091,37867.1276,37722.22266
2018-11-28,42800,43200,42750,43150,38281.14063,6943099,38088.91927,37908.52891
2018-11-29,43850,43850,42900,43150,38281.14063,8473511,38251.56771,38032.73281
2018-11-30,43450,44000,41750,41850,37127.82031,19775519,37896.70052,37935.14375
2018-12-03,42750,43400,42400,43250,38369.85547,12110702,37926.27214,38050.47578
2018-12-04,42650,42900,41900,42150,37393.97266,14347746,37630.54948,37890.78594
2018-12-05,40900,41750,40850,41450,36772.96094,12631983,37512.26302,37589.15
2018-12-06,40600,41100,40450,40500,35930.15625,14251826,36699.02995,37118.95313
2018-12-07,40900,41400,40850,40950,36329.375,11433083,36344.16406,36959.26406
2018-12-10,40450,40650,40000,40200,35664,14892263,35974.51042,36418.09297
2018-12-11,40600,40700,40200,40250,35708.36328,10638766,35900.57943,36080.97109
2018-12-12,40250,40700,40150,40450,35885.79688,12024279,35752.72005,35903.53828
